# our_gap_ms badpass_delta_ms is_proxied
272.026 291.937 1
97.553 110.816 0
234.805 126.463 0
366.987 368.133 1
91.629 104.35 1
100.985 101.432 1
381.959 318.543 1
305.605 1009.435 1
167.277 143.811 1
279.039 274.039 1
110.008 107.513 1
248.113 247.377 1
172.078 161.308 1
328.158 318.403 0
281.793 268.883 0
106.988 102.616 1
254.411 280.351 1
305.042 337.263 1
433.09 415.649 0
364.984 389.209 1
410.873 302.559 1
409.4 263.0 1
326.773 387.395 0
346.376 1174.114 0
276.107 290.982 1
265.722 265.036 1
242.065 256.943 1
327.549 399.537 1
286.96 291.596 1
275.721 332.851 1
456.15 452.41 0
327.832 359.421 1
312.493 334.539 1
292.444 341.361 1
380.532 443.093 1
394.295 355.837 1
489.408 356.453 1
349.806 447.823 0
273.368 302.461 1
263.282 280.329 1
270.257 281.703 1
350.064 295.729 1
285.918 284.045 1
561.97 545.484 1
300.17 285.153 0
256.246 269.328 1
256.538 271.453 1
307.636 372.391 1
262.495 441.197 1
167.19 204.766 1
309.267 366.399 1
263.253 267.062 1
183.403 195.88 1
270.868 276.21 1
300.559 323.109 0
167.3 136.48 1
282.495 292.765 1
170.71 162.952 1
293.438 436.663 1
281.145 326.294 1
102.443 109.207 0
315.231 322.043 1
285.434 312.892 0
119.979 107.715 0
284.734 265.465 1
279.474 278.512 0
1555.959 2868.986 1
97.806 104.427 1
620.143 1185.881 1
284.171 610.017 1
228.411 136.164 1
189.079 278.126 1
110.804 128.416 1
282.489 289.488 1
152.517 160.412 1
661.373 122.488 1
240.724 910.279 1
77.3 131.919 0
310.464 284.024 1
299.437 89.826 1
93.251 86.972 1
104.672 88.583 1
95.178 78.442 1
312.629 108.492 1
208.995 97.112 1
153.058 121.022 1
170.476 89.939 1
107.988 116.24 1
119.06 83.846 1
173.717 149.468 1
168.796 124.439 1
209.681 183.524 1
350.381 396.387 1
193.509 174.484 1
169.061 180.3 1
80.53 110.706 1
75.181 102.536 1
64.039 81.233 1
110.453 104.499 1
105.207 88.446 1
132.479 146.28 1
196.014 170.938 1
79.769 47.982 1
104.232 203.705 1
157.616 100.384 1
40.832 42.008 1
105.313 84.737 1
76.159 230.391 1
206.487 241.873 1
79.15 83.536 1
143.064 155.283 1
88.184 221.793 1
77.152 84.378 1
77.206 154.603 1
120.511 137.876 1
48.924 47.771 1
77.217 95.87 1
178.338 84.539 1
75.091 90.493 1
44.802 46.244 1
59.156 54.305 1
77.208 85.48 1
78.084 87.54 1
91.157 114.498 1
65.611 122.809 1
68.946 74.107 1
75.194 152.895 1
77.175 195.462 1
126.14 84.412 1
66.214 80.525 1
70.09 69.469 1
78.169 152.608 1
108.251 90.447 1
75.207 82.53 1
104.06 116.291 1
133.266 125.445 1
77.211 83.487 1
77.163 169.687 1
76.108 152.631 1
285.192 105.23 1
58.443 65.436 1
76.177 152.651 1
78.17 184.646 1
31.006 67.499 1
138.176 81.546 1
171.134 85.683 1
75.284 91.61 1
76.234 85.518 1
71.096 87.815 1
75.224 83.758 1
102.081 98.494 1
76.277 90.683 1
74.679 84.052 1
159.333 53.505 1
77.185 83.416 1
83.195 91.622 1
77.154 90.562 1
59.254 95.775 1
74.215 153.665 1
78.144 152.572 1
76.236 156.642 1
76.164 83.511 1
69.493 79.974 1
76.17 84.41 1
78.178 154.77 1
78.159 85.605 1
113.312 82.565 1
77.139 83.505 1
76.116 83.455 0
75.113 82.404 1
75.173 83.493 1
75.179 83.53 0
76.116 84.482 1
76.116 111.106 1
137.282 83.597 1
76.176 84.584 1
75.192 153.571 0
76.146 83.44 0
77.213 154.741 0
0.051 1.501 0
0.001 1.676 0
4.32 5.465 0
43.969 96.707 1
49.671 87.078 1
45.166 51.112 1
46.408 89.842 1
35.346 51.076 1
110.254 81.947 1
79.664 102.959 1
2.95 16.858 1
47.846 60.768 0
43.599 94.831 1
44.322 85.271 1
50.028 80.925 1
48.355 84.041 1
41.993 76.485 1
82.054 76.693 1
43.301 80.108 1
