t_rel,traffic_type,gap_ms,tcp_rtt_ms,syn_ttl
,scope_labproxy,2.435,148.052,53
,scope_labproxy,2.492,145.451,57
,scope_labproxy,2.633,146.21,57
,scope_labproxy,2.541,145.5,57
,scope_labproxy,2.57,145.032,53
,scope_labproxy,3.472,140.226,53
,scope_labproxy,2.827,143.403,57
,scope_labproxy,3.961,143.997,55
,scope_labproxy,2.503,147.393,57
,scope_labproxy,2.524,146.365,57
,scope_labproxy,2.479,148.824,53
,scope_labproxy,3.808,146.522,57
,scope_tor,181.49,246.292,48
,scope_tor,165.022,241.436,48
,scope_tor,547.312,236.84,48
,scope_tor,179.156,238.098,48
,scope_tor,189.072,245.075,48
,scope_tor,178.492,237.503,48
,scope_tor,174.613,233.769,48
,scope_tor,169.729,229.587,48
,scope_tor,172.443,231.65,48
,scope_tor,165.425,233.203,48
,scope_tor,176.092,232.313,48
,scope_tor,193.012,239.377,48
,scope_tor,252.433,232.368,45
,scope_tor,400.178,227.264,37
,scope_tor,342.968,215.22,46
,scope_tor,283.249,226.774,37
,scope_tor,401.196,226.607,38
,scope_tor,578.869,223.343,46
,scope_tor,231.445,229.145,36
,scope_tor,229.198,218.962,46
,scope_tor,240.695,218.554,46
,scope_tor,301.276,226.084,37
,scope_tor,299.349,214.324,46
,scope_tor,293.98,238.726,36
,scope_tor,297.647,214.834,46
,scope_tor,304.748,217.527,46
,scope_tor,294.213,229.222,38
,scope_tor,318.893,215.433,46
,scope_tor,160.682,228.014,37
,scope_tor,185.143,226.23,35
,scope_tor,171.124,229.302,36
,scope_tor,169.966,226.856,38
,scope_tor,172.001,226.796,38
,scope_tor,163.431,226.949,38
,scope_tor,164.406,216.158,46
,scope_tor,164.294,215.767,46
,scope_tor,175.487,215.34,46
,scope_tor,167.73,227.652,36
,scope_tor,168.686,218.16,46
,scope_tor,165.97,215.029,46
,scope_tor,164.903,240.181,36
,scope_tor,175.761,239.071,36
,scope_tor,165.872,227.346,36
,scope_tor,164.557,215.412,46
,scope_tor,165.477,226.613,38
,scope_tor,177.04,215.675,46
