t_rel,provider,protocol,country,client_ip,user_agent,ua_os,syn_ttl,syn_window,syn_mss,syn_options,syn_wscale,tcp_os,gap_ms,tcp_rtt_ms,fingerprint_mismatch
570.062,brightdata,http_connect,sg,ip_55e1ad26b1feb606,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,49,65535,1460,"2,4,8,1,3",,linux,259.871,230.316,mismatch
569.641,brightdata,http_connect,sg,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,53,65535,1460,"2,4,8,1,3",,linux,144.722,89.206,mismatch
571.368,soax,http_connect,ru,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,53,65535,1460,"2,4,8,1,3",,linux,100.536,89.917,mismatch
573.169,brightdata,http_connect,fr,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,65535,1460,"2,4,8,1,3",,linux,95.639,97.107,mismatch
574.062,soax,http_connect,ru,ip_c4ff34e674d6cd60,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,47,65535,1412,"2,1,3,1,1,8,4,0,0",,linux,318.945,235.164,mismatch
576.416,brightdata,http_connect,sg,ip_6c1d0aabd56fb5de,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,49,65535,1412,"2,1,3,1,1,8,4,0,0",,linux,252.949,231.593,mismatch
574.660,soax,http_connect,ru,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,65535,1460,"2,4,8,1,3",,linux,101.214,90.722,mismatch
578.028,brightdata,http_connect,sg,ip_c4ff34e674d6cd60,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,49,65535,1412,"2,1,3,1,1,8,4,0,0",,linux,279.76,246.603,mismatch
576.756,soax,http_connect,ru,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,53,65535,1460,"2,4,8,1,3",,linux,101.88,89.376,mismatch
579.374,soax,http_connect,ru,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,99.652,93.056,mismatch
579.570,brightdata,http_connect,fr,ip_a4f8f2685db41b3a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,116,62720,1460,"2,1,3,1,1,4",,windows,288.487,101.114,match
579.640,soax,http_connect,ru,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,53,65535,1460,"2,4,8,1,3",,linux,101.254,90.666,mismatch
581.512,brightdata,http_connect,sg,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,101.971,90.699,mismatch
581.831,soax,http_connect,ru,ip_434a0c963a8ed36c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,41,65535,1460,"2,1,3,1,1,8,4,0,0",,linux,0.0,561.141,mismatch
584.289,brightdata,http_connect,fr,ip_b34a78953b131fcc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,65535,1460,"2,4,8,1,3",,linux,100.612,90.694,mismatch
584.526,soax,http_connect,ru,ip_ed52b45b7434fefe,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,111,65535,1460,"2,1,3,1,1,4",,windows,259.547,229.345,match
585.466,brightdata,http_connect,sg,ip_b34a78953b131fcc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,52,65535,1460,"2,4,8,1,3",,linux,117.798,92.947,mismatch
587.757,soax,http_connect,ru,ip_2982a693840928c2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,3,1,1,8,4,0,0",,linux,117.39,141.0,mismatch
585.572,soax,http_connect,ru,ip_b34a78953b131fcc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1460,"2,4,8,1,3",,linux,102.661,93.753,mismatch
588.750,brightdata,http_connect,sg,ip_a97b3624f14c6e42,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,49,64240,1460,"2,4,8,1,3",,linux,266.371,234.56,mismatch
