t_rel,server,gap_ms,tcp_rtt_ms,syn_ttl,provider,protocol,country
,us,412.216,266.377,48,oxylabs,socks5,za
,us,316.877,248.711,42,oxylabs,socks5,za
,us,367.289,127.159,49,oxylabs,socks5,za
,us,307.995,216.031,49,oxylabs,socks5,za
,us,330.338,255.079,48,oxylabs,socks5,za
,us,351.109,257.722,48,oxylabs,socks5,za
,us,745.822,236.213,47,oxylabs,socks5,za
,us,485.341,235.078,49,oxylabs,socks5,za
,us,306.065,259.104,44,oxylabs,socks5,za
,us,372.865,249.122,48,oxylabs,socks5,za
,us,369.388,279.504,44,oxylabs,socks5,za
,us,396.941,344.068,45,oxylabs,socks5,za
,us,344.247,319.853,41,oxylabs,socks5,za
,us,306.824,266.504,42,oxylabs,socks5,za
,us,310.299,251.179,45,oxylabs,socks5,za
,us,810.07,355.15,49,oxylabs,socks5,za
,us,355.735,398.911,39,oxylabs,socks5,za
,us,354.999,349.685,47,oxylabs,socks5,za
,us,295.445,236.172,51,oxylabs,socks5,za
,us,323.426,249.92,44,oxylabs,socks5,za
,us,338.978,381.62,46,oxylabs,socks5,za
,us,306.245,266.858,46,oxylabs,socks5,za
,us,346.392,228.147,48,oxylabs,socks5,za
,us,332.837,230.566,48,oxylabs,socks5,za
,us,378.626,270.007,46,oxylabs,socks5,za
,us,343.962,275.987,49,oxylabs,socks5,za
,us,324.862,252.303,45,oxylabs,socks5,za
,us,306.676,255.249,45,oxylabs,socks5,za
,us,319.017,230.867,42,oxylabs,socks5,za
,us,309.347,254.232,47,oxylabs,socks5,za
,us,342.129,284.24,46,oxylabs,socks5,za
,us,310.297,253.691,44,oxylabs,socks5,za
,us,435.151,319.669,41,oxylabs,socks5,za
,us,313.175,250.578,45,oxylabs,socks5,za
,us,313.848,230.973,51,oxylabs,socks5,za
,us,309.424,220.329,49,oxylabs,socks5,za
,us,303.388,225.509,46,oxylabs,socks5,za
,us,516.002,219.723,49,oxylabs,socks5,za
,us,472.91,349.562,45,oxylabs,socks5,za
,us,585.125,271.525,50,oxylabs,socks5,za
,us,320.497,274.561,39,oxylabs,socks5,za
,us,320.961,364.168,44,oxylabs,socks5,za
,us,306.153,251.692,46,oxylabs,socks5,za
,us,316.138,277.445,48,oxylabs,socks5,za
,us,329.197,232.66,50,oxylabs,socks5,ru
,us,175.468,113.936,54,oxylabs,socks5,ru
,us,207.169,129.763,48,oxylabs,socks5,ru
,us,220.32,141.404,48,oxylabs,socks5,ru
,us,0.0,165.151,54,oxylabs,socks5,ru
,us,197.015,156.84,49,oxylabs,socks5,ru
,us,195.172,155.271,49,oxylabs,socks5,ru
,us,192.162,113.776,48,oxylabs,socks5,ru
